程序导标记，不用翻译,,
ID,Name,Desc
2330,Metamorphosis,
2331,Metamorphosis,
2332,Metamorphosis,
2333,Metamorphosis,
2334,Metamorphosis,
2335,Thunderbolt Faint,faint targets for 60 seconds
2336,[no_use],[no_use]
2337,[no_use],[no_use]
2350,Hell Spark,make the guards around attack you
4001,Mass Slow (Crystal Tower),all enemies in range 600 slowing down
4002,Slow (Crystal Tower),crystal tower caused slow down
8000,Rider's Order,use mount in scenario within 2 hours (no matter what plus rank the mount is)
9998,Test - Strong Defense,"increase upper limitation of HP, damage absorb and DPS"
9999,Eff Parameter Testing,testing Eff parameter
10000,Immovable,immovable
10001,Faint,faint
10002,Invisible,invisible
10003,Invincible,invincible
10004,Stone Attracting,attract
10005,Mass Healing,increase HP around
10006,Mass Slow,decrease speed around
10007,Attracted by Stone,attracted by stones
10008,Transform,invisible
10009,Test - Do after Attack,testing - do after attack
10010,Test - Riding,testing - riding
3987,Moving Speed,moving $EffParam1$% faster,
3988,Moving Speed,moving $EffParam1$% faster,
3989,Increase Dexterity,Add 200 Dexterity,
3990,Increase Dexterity,Add 200 Dexterity,
3991,Increase Strength,Add 200 Strength,
3992,Increase Strength,Add 200 Strength,
3993,Increase Intelligence,Add 200 Intelligence,
3994,Increase Intelligence,Add 200 Intelligence,
3995,Adv. Maximize Mana,Add $EffParam1$ Mana,
3996,Adv. Maximize Mana,Add $EffParam1$ Mana,
3997,Increase Dodge,Add 200 Dodge,
3998,Increase Dodge,Add 200 Dodge,
3999,Online Buff,Give (Online Chip) every 60 minutes!,
4100,White Tiger's Strength,"Increase Maximum HP 1000, + 10% Move Speed, + 10% C. Strike and increase 220 defense on Fire, Water, Lightning, Poison and Buddha Elements",
4101,Armor of Black Turtle,"Increase Maximum HP 1000, +10% Physical Defense, +10% HP and increase 220 defense on Fire, Water, Poison, Lightning and Buddha Elements",
4102,Blue Dragon's Rage,"Increase Maximum HP 1000, +10% Dodge, +10% to Physical, Fire, Water, Poison, Lightning and Buddha Damage Decrease and increase all elemental defense by 220",
4103,Fire Phoenix Blaze ,"Increase Maximum HP 1000, +10% Physical, Fire, Water, Poison, Lightning and Buddha Damage; +10% Physical, Fire, Water, Poison, Lightning and Buddha Critical Strike Damage; +220 to all Elemental Defense",
4104,Defense Increase,pet increase master's physical defense $EffParam1$%
4105,Increase HP Recovery Speed,pet increase master's HP healing speed $EffParam1$ points per second in non-battle state
4106,Increase HP Recovery Speed, Defense & Move Speed,"pet increase master's physical defense (pet level * 1)%, increase master's HP healing speed, pet level * (1 + master's HP * 0.10%) points every 2 seconds in non-battle state, increase Move Speed (pet level * 1)%"
4107,Maximize Mana,increase master's Mana upper limitation $EffParam1$ points
4108,Increase Mana Recovery Speed (battle & non-battle states),"increase master's mana recovery speed $EffParam1$ points per second, can be used in both battle and non-battle states"
4109,Increase Mana Recovery Speed, Maximize Mana & Move Speed,"increase master's mana, 30 + pet level * (15 + master's mana * 1%) points, increase master's Mana recovery speed, pet level * (1.5 + master's Mana * 0.10%) points every 2 seconds, can be used in both battle and non-battle states, increase Move Speed (pet level * 1)%"
4110,Increase HP Recovery Speed, Defense, Move Speed & Dexterity,"pet increase master's physical defense (pet level * 1)%, increase master's HP healing speed, pet level * (1 + master's HP * 0.10%) points every 2 seconds in non-battle state, increase Move Speed (pet level * 1)%, increase Dexterity 200 points"
4111,Increase HP Recovery Speed, Defense, Move Speed & Strength,"pet increase master's physical defense (pet level * 1)%, increase master's HP healing speed, pet level * (1 + master's HP * 0.10%) points every 2 seconds in non-battle state, increase Move Speed (pet level * 1)%, increase Strength 200 points"
4112,Increase Mana Recovery Speed, Maximize Mana, Move Speed & Intelligence,"increase master's mana, 30 + pet level * (15 + master's mana * 1%) points, increase master's Mana recovery speed, pet level * (1.5 + master's Mana * 0.10%) points every 2 seconds, can be used in both battle and non-battle states, increase Move Speed (pet level * 1)%, increase Intelligence 200 points"
